id	name	canonical_uuid	canonical	surrogate
000019ea-e2fe-56ba-a984-958ff79bb966	Galega pulchella	000019ea-e2fe-56ba-a984-958ff79bb966	Galega pulchella	false
00001cc2-a9c5-5790-bc5c-b324d757395e	Homosetia fuscocristatella (Chambers 1873)	de5b5e00-c650-5874-a2ef-73db454bdf71	Homosetia fuscocristatella	false
00001feb-9621-5263-8c98-f90ac815c14f	Dudleya pachyphytum R. Moran &amp; M. Benedict	b21257c1-b2e6-5095-8105-1819c56a1c45	Dudleya pachyphytum	false
00002035-5f76-5562-9383-04b3e3337ead	Calamus melanoloma	00002035-5f76-5562-9383-04b3e3337ead	Calamus melanoloma	false
000022b6-dae3-5c58-98f1-49395caf26ff	Cladosporio fasciculatu Corda	b2b30f88-e90a-5ba2-9ec5-622e9d356a9d	Cladosporio fasciculatu	false
000022ca-3688-5ec8-a703-80bf35baed9d	Lineatriton lineola	000022ca-3688-5ec8-a703-80bf35baed9d	Lineatriton lineola	false
00002365-7aab-5740-a98c-0a1f3343cdb5	Inocybe asterospora QuÃ©l.	391ad74a-4e23-5485-ad51-dd9a18a70dd3	Inocybe asterospora	false
00002441-7949-5be6-bcf3-ffe9f8557518	Allochernes creticus	00002441-7949-5be6-bcf3-ffe9f8557518	Allochernes creticus	false
00002604-6599-5cf5-bd55-b1d7b61e9c7b	Ascochyta fragariicola	00002604-6599-5cf5-bd55-b1d7b61e9c7b	Ascochyta fragariicola	false
0000264a-75b6-5025-9902-6d7e29c51e55	Sphaerirostris scanensis (Lundström, 1942)	6917154e-4b87-5472-8245-5870fb087aa1	Sphaerirostris scanensis	false
00002694-5595-5b95-8a1a-409a8062d00a	Galeodila somalica Caporiacco 1945	ecd2e3b5-347d-53fd-bfd9-ee2e1a7bd4c6	Galeodila somalica	false
000026b1-a02e-5d2a-8b5f-30495413babc	Influenza A virus (A/pintail duck/Alberta/1360/1979(H6N2))	a9456e61-bd30-53bc-8588-accb913cc64a
00002736-39d7-51c3-bb99-9cfc2d42ecd6	Saperda (Saperda) populnea Breuning, 1966	ae330d5e-d6e5-5261-a827-f789364905d2	Saperda populnea	false
000027a8-b990-59ed-a89e-17c500ad53d1	Lepidosaphes bicuspis	000027a8-b990-59ed-a89e-17c500ad53d1	Lepidosaphes bicuspis	false
000027e3-65c3-570f-be35-329ecac73c3f	Nothoprodontia boliviana MONNÉ Miguel Ángel, MONNÉ Marcela Laura, 2004	29e25d12-3f59-5aa8-b765-2ae95fc4cbcf	Nothoprodontia boliviana	false
000028ad-6940-5352-8138-1b3904707512	Oedopeza cryptica Monne 1990	408a7935-1fd2-5a01-96a6-9a8f8136e3b8	Oedopeza cryptica	false
00002ba3-24f0-5f21-ab1b-96fd47655df5	Myrcia subsericea	00002ba3-24f0-5f21-ab1b-96fd47655df5	Myrcia subsericea	false
00002bb6-2167-57ec-aafb-cad4ea4b4092	Diplasia karataefolia Rich.	c6b3e9c1-8705-5cfc-967d-1dfc65bee4e9	Diplasia karataefolia	false
00002cb9-1594-54df-a4e6-ca9c5ff88e5a	Astraeus robustus	00002cb9-1594-54df-a4e6-ca9c5ff88e5a	Astraeus robustus	false
00002d94-50d0-5ac6-8ca5-09b85d46ba79	Hyposmochoma empedota Meyrick, 1915	7b404e45-3a0d-592a-905f-3d7abc8475d0	Hyposmochoma empedota	false
00002e38-b926-56da-bde2-f09e775cde1f	Lucidomphrale Kroeber	09534796-2544-55c5-85c2-7bc450781ad4	Lucidomphrale	false
00002e49-5cc6-5644-968e-2995b4ba15c1	Campanula nephrophylla C.Y. Wu	81f304f5-9c3d-50d0-8e6c-bdde719db796	Campanula nephrophylla	false
00002ef5-6ab9-51cb-9ed4-2e5de1ccb268	Lachnospiraceae bacterium hmp_mda_pilot_jcvi_0011	cbb148cf-471c-592b-92ed-88b928d99c7c	Lachnospiraceae bacterium hmp mda pilot jcvi	false
00002f68-e091-526f-92ff-c30a5145ecfb	Pyreneosoma barbieri (Mauriès 1971)	3f75bbe5-79a8-57c8-86bb-d84c40f1949a	Pyreneosoma barbieri	false
00002f9e-a663-5022-9555-f56401c43773	Glochinema bathyperuvensis	00002f9e-a663-5022-9555-f56401c43773	Glochinema bathyperuvensis	false
00003038-5bbc-5032-b527-59cb428811a0	bacterium enrichment culture clone SC-1_11	a9456e61-bd30-53bc-8588-accb913cc64a
00003092-eac2-5340-b089-e36cc5d5ca14	Taramelliceras ernii Cariou & Sequeiros 1987	2a43a150-a798-5f95-a873-0d3e92609ed3	Taramelliceras ernii	false
000032f0-5f05-52d3-8e78-41f62d174477	Batillaria lutulentus (Kiener, 1841)	404a9d73-104e-52af-b878-254e098fb664	Batillaria lutulentus	false
00003347-986d-53c4-824b-3c7991e91560	Callichrus affinis (Swainson, 1839)	117ed462-8fe2-51f2-b719-553c533930a2	Callichrus affinis	false
00003348-ee6a-55dc-a0bd-72761dfa42ba	Agrilus taoi	00003348-ee6a-55dc-a0bd-72761dfa42ba	Agrilus taoi	false
00003501-6b3a-5c97-a2f1-6924f27d8f3b	Craticulina digressum Seguy, 1953	0e680752-9b12-5595-9bc1-c52b0477c9ca	Craticulina digressum	false
00003515-a184-5187-bdea-9998dd2c63b7	Cydia rungsi Amsel, 1952	d76e5610-e006-5b5d-bd02-69f687ca43b1	Cydia rungsi	false
0000353d-95ef-531d-9f58-d3c139819e85	Crossidius coralinus coralinus Monné, 1994	30167982-6f76-57f3-8c0a-643dbbaa212e	Crossidius coralinus coralinus	false
00003549-845a-5427-92e9-1416c35a94ed	Platygaster canestrinii	00003549-845a-5427-92e9-1416c35a94ed	Platygaster canestrinii	false
0000381d-f24e-529b-8047-7bf5a094fbd6	Mesomorphus werneri	0000381d-f24e-529b-8047-7bf5a094fbd6	Mesomorphus werneri	false
00003a4b-16d8-58f1-9f1a-f38ea5cebb27	Mitella stauropetala	00003a4b-16d8-58f1-9f1a-f38ea5cebb27	Mitella stauropetala	false
00003b2b-3c17-511d-a0fa-334a371c7613	Hydraena sautakei Jäch & Díaz, 1999	0fb55ed5-db58-5e1b-9c5d-6de7def50d90	Hydraena sautakei	false
00003c0d-126b-551c-9bfe-a00575b66437	Parmotrema kainantum Kurok. & K.H. Moon	34f17948-2006-5747-9f38-6692dc5db9ed	Parmotrema kainantum	false
00003c86-b045-50e4-abb5-9ac5af982a14	Milax budapestiensis	00003c86-b045-50e4-abb5-9ac5af982a14	Milax budapestiensis	false
00003cf0-9721-567b-8932-aaa962bf5193	Planchonia spectabilis Merrill	10c1c495-9d42-5472-bd0a-f4ffda62c79d	Planchonia spectabilis	false
00003f2f-c6a6-510c-b1cb-f755b3fb1fc7	Triphaena lucilla Butler 1878	91532522-d15e-5374-8d2d-f19f66363422	Triphaena lucilla	false
00003f33-8eca-5b50-9afc-eead221c2c9f	Rana zweifeli Hillis, Frost & Webb 1984	ffe1edf5-ac67-593e-8cb5-b504b46c0458	Rana zweifeli	false
00003f51-3b44-5796-bb86-a3339bc13682	Macrocalymma insignis (de Saussure)	440568d7-d83d-5892-8f0f-5e3fc97dbb6e	Macrocalymma insignis	false
00003fc0-7699-56b2-b725-cf2f433e0391	Sertularella tricuspidala	00003fc0-7699-56b2-b725-cf2f433e0391	Sertularella tricuspidala	false
000040ef-9c70-5bf4-988f-71c5dcde88cb	Epilachna gelensis Fursch 1987	a894d0d6-a0fe-52d2-acf2-a1212d2be259	Epilachna gelensis	false
0000422f-5a86-5b39-b371-59bab7f65210	Impatiens trichocladon Hook. fil.	eb271369-fc69-513b-8ea4-bd47dc434001	Impatiens trichocladon	false
000042ae-1121-5b5c-8810-22ed37967941	Furgasonia sorex Penard 1922	9682831a-6459-5430-b7de-840bad49b35d	Furgasonia sorex	false
00004367-40ed-5364-a7cb-e4fea63e4690	Hipporrhinus bertinae Marshall, G.A.K. , 1907	4cb12a3f-4a0a-55f8-b945-cfc48b8677a6	Hipporrhinus bertinae	false
000044a4-d8f6-5b0e-a46e-35acfd981aaa	Liaoningornis longidiris Hou	46952c6a-046c-51cf-bfcf-c7c819163e2a	Liaoningornis longidiris	false
000044d6-07ae-5596-a0be-e455b2787707	Macrauchenopsis Paula Couto 1945	c2ec79e7-5342-5624-8394-e352f04dee12	Macrauchenopsis	false
0000453b-13ed-51e3-afcd-f4caafb36292	Lindbergichthys	0000453b-13ed-51e3-afcd-f4caafb36292	Lindbergichthys	false
0000457f-7cdc-5902-a39b-6d7e28144b44	Aurota	0000457f-7cdc-5902-a39b-6d7e28144b44	Aurota	false
0000465b-4a2c-5c8d-9570-cf798301b491	Hornera aotearoa	0000465b-4a2c-5c8d-9570-cf798301b491	Hornera aotearoa	false
